ano,ata,tipo,url
2015,Sessão de 1º.6.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA-1.6.20151.pdf
2015,Sessão de 15.6.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA-15.6.2015.pdf
2015,Sessão de 29.6.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-29.6.2015.pdf
2015,Sessão de 3.8.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-3.8.2015.pdf
2015,Sessão de 24.8.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-24.8.2015.pdf
2015,Sessão de 14.9.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-14.9.2015.pdf
2015,Sessão de 5.10.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-5.10.20151.pdf
2015,Sessão de 9.11.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-9.11.2015.pdf
2015,Sessão de 7.12.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-7.12.20151.pdf
2016,Sessão de 20.1.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-20.1.2016.pdf
2016,Sessão de 22.2.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-22.2.2016.pdf
2016,Sessão de 7.3.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-7.3.2016.pdf
2016,Sessão de 4.4.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/ATA-CAA-4.4.201611.pdf
2016,Sessão de 2.5.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA.02.05.20161.pdf
2016,Sessão de 30.5.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA-30.05.20161.pdf
2016,Sessão de 13.6.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA.13.06.20151.pdf
2016,Sessão de 27.6.2016,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/CAA.27.06.20161.pdf
